snapshot_date,snapshot_time,source_file,股票代號,股票名稱,收盤價,5日線,10日線,20日線,成交量,5日均量,20日高點,20日低點,量價異常,籌碼1日,籌碼3日,籌碼5日,籌碼10日,外資1日,外資3日,外資5日,外資10日,投信1日,投信3日,投信5日,投信10日,自營商1日,自營商3日,自營商5日,自營商10日,技術分數,狀態,綜合判斷,技術面,籌碼面,AI評語
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,6488.TWO,環球晶,1015.0,905.2,794.5,770.05,11189000,12916600,1020.0,597.0,無明顯異常,162249,2631325,8154362,3673434,253787,1586971,578662,-3954722,-422744,-69601,6737532,5790882,331206,1113955,838168,1837274,140,🔥強勢,強勢觀察,站上5日線、多頭排列、量能未放大、接近20日高點,法人連續偏買、5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能未放大、接近20日高點、法人連續偏買、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,1303.TW,南亞,112.5,100.82,93.68,90.66,151715085,125200668,118.0,80.4,無明顯異常,17417137,96477117,143464253,190436135,16575842,89841244,135525546,184265443,2133396,5130853,6431585,5365685,-1292101,1505020,1507122,805007,135,🔥強勢,強勢觀察,站上5日線、多頭排列、量能溫和放大,法人連續偏買、5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能溫和放大、法人連續偏買、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2027.TW,大成鋼,43.65,42.54,42.33,40.86,33817082,25080870,44.75,37.6,無明顯異常,2392835,13256192,25091584,64253723,7811291,11262778,20258423,65055407,-5695000,24000,24000,-3180000,276544,1969414,4809161,2378316,135,🔥強勢,強勢觀察,站上5日線、多頭排列、量能溫和放大,法人連續偏買、5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能溫和放大、法人連續偏買、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,00878.TW,國泰永續高股息,32.49,31.16,29.78,28.8,111980868,97679491,32.5,26.9,無明顯異常,50989129,141750141,190010625,446290762,17420827,60474000,111782158,279670276,0,0,0,2500000,33568302,81276141,78228467,164120486,130,🔥強勢,強勢觀察,站上5日線、多頭排列、量能溫和放大、接近20日高點,法人連續偏買、5日法人明顯買超,強勢偏多：站上5日線、多頭排列、量能溫和放大、接近20日高點、法人連續偏買、5日法人明顯買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,3062.TW,建漢,31.4,30.36,29.89,28.67,14200637,12700714,31.95,25.55,無明顯異常,3608654,4771014,5613297,16373416,3649755,4479803,5345851,15451796,0,0,0,0,-41101,291211,267446,921620,130,🔥強勢,強勢觀察,站上5日線、多頭排列、量能溫和放大、接近20日高點,法人連續偏買、5日法人明顯買超,強勢偏多：站上5日線、多頭排列、量能溫和放大、接近20日高點、法人連續偏買、5日法人明顯買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2618.TW,長榮航,37.25,36.22,35.68,35.27,84389805,88777580,37.85,33.7,無明顯異常,3007807,33011634,14678372,6369836,-38331924,-83239905,-118612558,-175002575,41577808,115447051,132330184,179645474,-238077,804488,960746,1726937,120,🔥強勢,強勢觀察,站上5日線、多頭排列、量能未放大、接近20日高點,法人連續偏買、5日法人明顯買超、投信買外資賣,強勢偏多：站上5日線、多頭排列、量能未放大、接近20日高點、法人連續偏買、5日法人明顯買超、投信買外資賣。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2382.TW,廣達,400.5,346.5,327.95,328.25,151608396,80579083,409.5,288.5,帶量突破20日高點,21893967,45194980,36660149,39893653,-14582246,-15338081,-36751663,-74470550,37188225,59899225,72452435,114949278,-712012,633836,959377,-585075,120,🔥強勢,強勢觀察,站上5日線、成交量放大、帶量突破20日高點,法人連續偏買、5日法人明顯買超、投信買外資賣,強勢偏多：站上5日線、成交量放大、帶量突破20日高點、法人連續偏買、5日法人明顯買超、投信買外資賣。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,2337.TW,旺宏,175.5,165.0,156.95,158.75,247731538,214432696,180.0,136.5,無明顯異常,31776921,58557120,10953707,42964367,27576860,50133893,4442037,45182705,3292000,6403000,6243000,-1707000,908061,2020227,268670,-511338,110,🔥強勢,強勢觀察,站上5日線、量能溫和放大,法人連續偏買、5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、量能溫和放大、法人連續偏買、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,8215.TW,明基材,31.45,30.23,29.41,28.62,9361391,7974139,32.55,26.3,無明顯異常,-363606,3394321,2627472,5108655,-454166,3181018,2415018,4818692,165000,173000,173000,219000,-74440,40303,39454,70963,105,🔥強勢,強勢觀察,站上5日線、多頭排列、量能溫和放大,5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能溫和放大、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
2026-06-03,2026-06-04 00:09:57,output/stock_analysis_result.xlsx,3481.TW,群創,56.2,51.98,47.69,40.86,1163170448,1033743519,58.8,26.8,無明顯異常,-195611341,55247448,87686194,-906948,-208585325,35367431,67023143,-16935718,24152000,29259444,23729444,20923859,-11178016,-9379427,-3066393,-4895089,105,🔥強勢,強勢觀察,站上5日線、多頭排列、量能溫和放大,5日法人明顯買超、外資投信同步買超,強勢偏多：站上5日線、多頭排列、量能溫和放大、5日法人明顯買超、外資投信同步買超。可列入優先觀察，但仍需留意乖離與量能是否過熱。
