ticker,buy_sell_1d,buy_sell_3d,buy_sell_5d,buy_sell_10d,foreign_1d,foreign_3d,foreign_5d,foreign_10d,investment_1d,investment_3d,investment_5d,investment_10d,dealer_1d,dealer_3d,dealer_5d,dealer_10d
1789.TW,23912,51309,444669,399094,24000,64500,449860,394989,0,0,0,0,-88,-13191,-5191,4105
1904.TW,95354,235774,1296112,4478176,83354,590725,1644063,4399807,-1000,-1000,-1000,-9000,13000,-353951,-346951,87369
1907.TW,-16000,-1107234,-704641,114021,-25000,-982758,-417272,439184,-1000,-10798,-26522,-49445,10000,-113678,-260847,-275718
1909.TW,292523,3367683,5067997,9829506,239523,3454683,5136518,9718027,0,0,0,0,53000,-87000,-68521,111479
2014.TW,1760062,544163,814976,-1537030,1865062,800163,1551976,-656030,0,0,0,0,-105000,-256000,-737000,-881000
2023.TW,-1249966,-143987,-404660,363461,-1240131,-176152,-485825,185296,-1000,-1000,-1000,-13000,-8835,33165,82165,191165
2029.TW,120602,77978,252281,517808,127602,88901,257204,524214,0,0,0,0,-7000,-10923,-4923,-6406
2031.TW,-46024,323531,-1319193,-4546595,-43205,436775,-699171,-3890581,-3819,-19082,-22884,-60931,1000,-94162,-597138,-595083
2103.TW,-87882,1838884,3094259,6874908,-28515,1699150,2979576,6714185,0,-3000,-3000,-3000,-59367,142734,117683,163723
2106.TW,-603000,-1032951,-1025151,-1025956,-596000,-1012500,-1015700,-1043505,-1000,-1000,-1000,-9000,-6000,-19451,-8451,26549
2108.TW,13632,-348155,-228156,-514036,12879,-355640,-246075,-516271,0,0,0,0,753,7485,17919,2235
2302.TW,224180,-2666700,-3112100,-2695716,221180,-2606300,-2843100,-2481716,0,0,0,0,3000,-60400,-269000,-214000
2314.TW,-1000,13236,8236,-12195,-1000,13236,8236,-12195,0,0,0,0,0,0,0,0
2340.TW,4171731,8094404,14570853,13128441,3985382,7135761,12979199,11714540,0,0,0,0,186349,958643,1591654,1413901
2342.TW,-3588809,-7976176,-3589094,-5670116,-3471896,-7960965,-3642370,-5723279,0,0,0,0,-116913,-15211,53276,53163
2349.TW,1165270,4089632,3969539,-95344,1170270,4083632,3959539,-88344,0,0,0,0,-5000,6000,10000,-7000
2351.TW,-532977,-1775946,-1713962,2996888,-986181,-2992120,-2891387,1381708,262000,834000,834000,1501000,191204,382174,343425,114180
2362.TW,-65405,77777,564709,-1011950,-52000,94175,565797,-994932,0,-1000,-1000,-1000,-13405,-15398,-88,-16018
2363.TW,2838624,4584764,5558851,3886208,2454790,4244351,5015500,3788777,0,0,0,30000,383834,340413,543351,67431
2367.TW,2510233,939035,-4061736,6206607,2516102,848906,-3870729,6965156,0,0,0,0,-5869,90129,-191007,-758549
2369.TW,9210897,13588574,14973747,9074220,8750432,12783700,13977354,8182942,0,0,0,0,460465,804874,996393,891278
2371.TW,482813,-1519920,-4899828,-16235145,526655,-978730,-4341798,-14036576,-22000,-252500,-341703,81252,-21842,-288690,-216327,-2279821
2373.TW,-1000,-13460,11940,-33864,-1000,-12460,7940,-36910,0,0,0,0,0,-1000,4000,3046
2388.TW,3522602,14122689,14862742,15289740,3192832,12099905,12491678,12882444,17000,0,0,21000,312770,2022784,2371064,2386296
2402.TW,2933749,-3427422,-2287341,-674077,2708807,-3513072,-2908494,-756334,0,0,0,0,224942,85650,621153,82257
2417.TW,252115,-43682,188597,-331647,252115,-39966,191497,-304959,0,0,0,0,0,-3716,-2900,-26688
2420.TW,-6261,-4993,-50944,-1014258,-4261,-4993,-56119,-1011696,0,0,-825,14438,-2000,0,6000,-17000
2425.TW,-682110,-1031781,984365,344929,-695110,-971850,979365,363929,0,0,0,0,13000,-59931,5000,-19000
2439.TW,241542,-796161,-2629411,-4540638,216000,-920347,-2695747,-4325697,-2079,-12740,-15211,-31896,27621,136926,81547,-183045
2441.TW,6909332,9736910,5351181,-111091,8439297,14191487,11792074,9624385,-1746000,-5634000,-7815000,-9212000,216035,1179423,1374107,-523476
2464.TW,-2929470,-12558023,-12390253,-12646501,-2860291,-11952707,-12136712,-11847465,0,0,0,-151000,-69179,-605316,-253541,-648036
2472.TW,64345,2121125,-4096248,-3681488,-1128225,61504,-6424229,-5848344,1431000,1930000,2220000,2142000,-238430,129621,107981,24856
2476.TW,-344164,1029868,-3431147,488294,-471919,890653,-3850791,45299,0,0,0,0,127755,139215,419644,442995
2480.TW,132634,684882,132607,-219840,134190,688900,136579,-308847,-1138,-5684,-8160,60760,-418,1666,4188,28247
2495.TW,1896852,2023859,-3256769,-6102397,1864529,1924290,-3332774,-6137658,0,0,0,22000,32323,99569,76005,13261
2501.TW,-1135000,4453313,5298683,13948224,-1118000,4451313,5255213,13893431,0,0,0,0,-17000,2000,43470,54793
2504.TW,-935937,-1459139,-3646534,-3699876,-3586000,-5790330,-9741230,-9733719,2658063,5705664,7435785,7210887,-8000,-1374473,-1341089,-1177044
2509.TW,-87000,-43500,-139500,-579356,-92000,-48500,-141500,-588356,0,0,0,0,5000,5000,2000,9000
2511.TW,-451058,-399302,-24080,1217320,-408058,-415302,-118080,1128320,0,0,0,0,-43000,16000,94000,89000
2515.TW,4134275,7251051,10955392,11005218,4123611,7433397,10974128,11145998,-1000,-3000,-3000,-14000,11664,-179346,-15736,-126780
2520.TW,-1341708,-2729927,-2831140,-2315656,-1184395,-2914509,-2942079,-2812640,0,0,0,-10000,-157313,184582,110939,506984
2530.TW,-650000,-918966,-919545,-401141,-731000,-940966,-941545,-345141,0,-28000,-28000,-58000,81000,50000,50000,2000
2534.TW,-491655,-719222,-695239,-1218408,-487000,-683658,-666858,-1216165,0,0,0,0,-4655,-35564,-28381,-2243
2535.TW,155870,154834,659174,1343536,154870,143433,663048,1645298,0,0,0,-1000,1000,11401,-3874,-300762
2539.TW,-635491,-640788,-459827,-549638,-663993,-548343,-365664,-555974,-13,-96445,-106163,-77664,28515,4000,12000,84000
2615.TW,-899347,-4112162,-10479523,-4798981,-909887,-4672480,-10808025,-5309816,4633,-44479,364942,294889,5907,604797,-36440,215946
2634.TW,5461420,6664406,7478672,11994381,4317853,5525892,6339598,10890920,-9000,-16000,-23000,-34000,1152567,1154514,1162074,1137461
2637.TW,60087,1219058,2349424,7842441,91520,1571592,3124235,17473843,-16235,-266165,-578390,-9328511,-15198,-86369,-196421,-302891
2645.TW,256379,731631,1183421,1889410,366679,1045342,1514365,2081366,-120000,-254000,-259000,-260000,9700,-59711,-71944,68044
2801.TW,4712778,9424135,25461222,144563372,4671479,9586831,23837998,143222679,-4979,-205979,1009941,1124897,46278,43283,613283,215796
6412.TW,-848584,-4174901,-6996353,-8997792,-914980,-4248312,-7068288,-34469,0,10000,9534,-9076015,66396,63411,62401,112692
2812.TW,-4943461,-805342,11640908,16883739,-5005000,-808881,10819093,15771165,24000,71000,683276,932756,37539,-67461,138539,179818
2834.TW,7743344,6207940,15741586,66171229,7766321,7224363,15896152,66561255,-2977,-748423,-165566,-368456,-20000,-268000,11000,-21570
2836.TW,-243000,-161018,-523496,339589,-243000,-144018,-530496,342818,-1000,-1000,-1000,-10000,1000,-16000,8000,6771
2855.TW,-7658101,-13700443,-15151522,-26784845,-7727019,-13733052,-16089072,-61798091,68918,32609,937550,35013246,0,0,0,0
6510.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2897.TW,585390,2310472,7457172,21630271,550390,2335472,7432172,21850287,0,0,0,0,35000,-25000,25000,-220016
2903.TW,-1405618,672798,3121990,7070105,-1733600,-400184,299008,3168124,333000,873000,2373000,3770000,-5018,199982,449982,131981
2915.TW,-486639,-39862,428633,4790038,-489110,329667,797967,5123958,-714,-248714,-260714,-348714,3185,-120815,-108620,14794
3010.TW,-546694,-2008673,-3558469,-4173503,245071,322445,-234110,-180910,-791000,-2349000,-3344357,-3957545,-765,17882,19998,-35048
3022.TW,-71760,191120,63688,2425411,-48000,181586,65651,3030450,0,0,-639,-2759,-23760,9534,-1324,-602280
3026.TW,88691,2744726,-650945,1154487,56731,398763,-3763062,-1768821,9750,2217750,3180450,3371450,22210,128213,-68333,-448142
3030.TW,-197658,-488597,-1362667,-2121350,-233995,-832662,-1762445,-2460795,0,292000,292000,290000,36337,52065,107778,49445
3032.TW,-113488,140948,178269,108662,-132973,122326,156205,93939,0,0,0,0,19485,18622,22064,14723
3047.TW,557142,-459109,-389616,-648189,583000,-454224,-379910,-640326,0,0,0,0,-25858,-4885,-9706,-7863
3056.TW,-541085,-120409,523,507909,-538989,-106158,5680,487114,0,0,0,0,-2096,-14251,-5157,20795
3094.TW,163929,783674,2085541,2517112,159495,769318,2074740,2537244,0,0,0,0,4434,14356,10801,-20132
3167.TW,-9297,-37403,-466978,-1538550,-45097,-115966,130590,-1077226,0,-40000,-722000,-484000,35800,118563,124432,22676
3209.TW,-431045,-764337,-1076459,-1142305,-431625,-776572,-1062020,-712432,-1449,-7485,-10175,-176745,2029,19720,-4264,-253128
3227.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3293.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3443.TW,-17411,-614399,-914444,-1619077,187076,-2790284,-3343344,-4341361,-219627,2025764,2143559,2737494,15140,150121,285341,-15210
3450.TW,-3762873,-238515,-537412,-2318342,-3470812,-482045,-838955,-3365077,0,322000,322000,1238000,-292061,-78470,-20457,-191265
3491.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3552.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3596.TW,-224831,897738,2181208,3447022,-739921,-379158,566765,1890943,521000,1252000,1580000,1581000,-5910,24896,34443,-24921
3617.TW,43505,57021,-47703,203681,43000,55409,-44137,210786,0,0,-215,-1930,505,1612,-3351,-5175
3653.TW,-137852,408594,791704,628776,36828,384182,865944,-86976,-179198,35326,-58957,844427,4518,-10914,-15283,-128675
3680.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4105.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4123.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4147.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4763.TW,3979142,1984374,3800467,7126325,3871491,1944479,3732333,7024140,0,-5283,-16761,-33111,107651,45178,84895,135296
4766.TW,-313581,-152234,-301917,94610,-307396,-145563,-303243,-8792,0,6000,12000,46000,-6185,-12671,-10674,57402
5009.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5314.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5425.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5484.TW,148000,13229,400929,37159,151000,14229,401929,65159,0,0,0,-2000,-3000,-1000,-1000,-26000
6121.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6138.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6182.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
