ticker,buy_sell_1d,buy_sell_3d,buy_sell_5d,buy_sell_10d,foreign_1d,foreign_3d,foreign_5d,foreign_10d,investment_1d,investment_3d,investment_5d,investment_10d,dealer_1d,dealer_3d,dealer_5d,dealer_10d
3324.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4908.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4931.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2485.TW,695855,2267990,1260872,-756133,623325,290809,-491930,-846033,0,0,0,-10000,72530,1977181,1752802,99900
2002.TW,45254334,87342735,71407211,40442572,44581757,371883353,355369189,322610416,-338922,-286392557,-286368904,-285478841,1011499,1851939,2406926,3310997
5439.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6213.TW,13558111,22089727,23925915,26986679,13114162,20514711,22251202,25683403,0,449000,448000,440000,443949,1126016,1226713,863276
2603.TW,1449589,1330840,-5987003,-19985198,1568343,5535408,-3502143,-13667048,-164783,-1063969,1362288,-6921879,46029,-3140599,-3847148,603729
2707.TW,-16140,-19631,-9645,224077,-17000,-20491,-11199,201402,0,0,0,-1000,860,860,1554,23675
2748.TW,12862,25312,116992,253289,12862,27312,116992,252289,0,0,0,0,0,-2000,0,1000
3017.TW,86974,-794302,-1589034,-2676969,323124,1122584,1161861,109436,-283367,-2028201,-2912221,-2928080,47217,111315,161326,141675
2382.TW,2563748,7476921,5698482,25252387,1270069,5250304,-13674,-53778594,1424601,2950491,5206697,78864686,-130922,-723874,505459,166295
3231.TW,-10590026,-39575832,-56339014,-105022114,-16561241,-51372466,-68651430,-104669027,5641279,11151660,11256760,662534,329936,644974,1055656,-1015621
3081.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2345.TW,881573,394098,1118564,268421,862663,728275,1304855,887619,-25658,-237963,-198627,-555543,44568,-96214,12336,-63655
2337.TW,15244438,30244653,41864970,35830494,13872314,29457688,38327785,46673499,305000,-443000,-526000,-7308000,1067124,1229965,4063185,-3535005
2329.TW,4209643,7273567,8193452,3026753,4137915,6786931,7503960,3779249,0,0,0,18000,71728,486636,689492,-770496
2331.TW,582909,2610383,2016014,1468168,581169,2311155,1717532,1423357,0,-29000,-29000,-54000,1740,328228,327482,98811
2498.TW,11055437,14196113,14630847,13241760,9980176,12265156,12116973,11907922,0,-30000,-40000,-44000,1075261,1960957,2553874,1377838
8215.TW,1297789,2341301,196394,-1061498,1309346,2334152,172242,-1319973,-10000,-5000,6000,233000,-1557,12149,18152,25475
2401.TW,-1336637,8503955,20606121,24138212,-1626630,7164537,18625565,22797375,15000,15000,15000,40000,274993,1324418,1965556,1300837
3062.TW,-587671,-1425857,-3632189,-12570986,-582500,-1388900,-3525345,-12020995,0,0,0,0,-5171,-36957,-106844,-549991
8028.TW,-312704,-2281927,-4960566,-4426475,-1165002,-2335403,-5230297,-4017880,747000,-110000,65000,-379000,105298,163476,204731,-29595
8150.TW,9562755,27084592,12156981,19491819,8686355,22902422,7294474,6614849,0,3095000,3048000,13283847,876400,1087170,1814507,-406877
2356.TW,-12286807,-14491904,-17099731,-26724561,-11814700,-13111582,-16873863,-25032889,-1007512,-2632692,-2789692,-2718677,535405,1252370,2563824,1027005
2324.TW,-26883920,-41494041,-46729504,-152509575,-24813052,-37107622,-42983443,-146728849,-2382741,-5730838,-5710838,-5770838,311873,1344419,1964777,-9888
2353.TW,-2323470,-7260059,-2438045,-38163646,-1980106,-5071750,-4436210,-38465943,-177086,-979304,3656121,3641892,-166278,-1209005,-1657956,-3339595
3013.TW,155610,-157423,-620089,-2594849,151560,-150420,-615845,-2127622,0,0,0,-1000,4050,-7003,-4244,-466227
6230.TW,14331,41970,86419,52997,15299,41903,87148,52560,0,0,0,0,-968,67,-729,437
6275.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2421.TW,56125,-698805,-1420264,-5822405,-38308,-756604,-1518887,-5577453,0,7000,7000,-109000,94433,50799,91623,-135952
2368.TW,-425035,-967432,-1273934,-944900,615992,-139757,429824,-2071175,-1147952,-907561,-1838536,1274212,106925,79886,134778,-147937
5469.TW,1464737,2286573,3868132,5236364,1349445,2169027,3729618,5282135,0,0,0,-3000,115292,117546,138514,-42771
6269.TW,577794,5253173,8396688,11457919,400231,4685193,7609043,10295724,0,0,0,-2000,177563,567980,787645,1164195
6191.TW,896420,277201,8697548,7250705,824599,770803,8546277,7293333,-912,-565912,-170912,-162912,72733,72310,322183,120284
6214.TW,-2103407,-2692042,-4059990,-3934092,-2093000,-2681095,-4042860,-3849019,0,-3000,-3345,-6489,-10407,-7947,-13785,-78584
8039.TW,3406718,2971890,699074,6720982,3200657,2919743,942669,6830959,0,0,0,5000,206061,52147,-243595,-114977
3363.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4903.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4979.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6426.TW,36400,69191,-32908,232481,37400,68403,-33696,236793,0,0,0,0,-1000,788,788,-4312
3260.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2451.TW,-2115428,-6717245,-7004140,-10165558,-2184565,-7180177,-7429092,1433605,50000,486000,412800,-11515200,19137,-23068,12152,-83963
4967.TW,557040,1177798,1724188,-175638,603845,1271412,1834937,74977,0,0,0,0,-46805,-93614,-110749,-250615
8299.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2605.TW,1339561,-6286520,-7204573,-8756609,1394200,-5490105,-6153221,-7370207,0,0,0,-4000,-54639,-796415,-1051352,-1382402
2606.TW,4592299,17523012,15392410,11427887,4676189,17755462,16729061,12675131,-65000,-441000,-662000,-69000,-18890,208550,-674651,-1178244
2607.TW,-95573,-479693,-585345,-741545,-95573,-479693,-606345,-887545,0,0,0,0,0,0,21000,146000
2610.TW,-1298101,41400074,63925337,61932975,-4398318,36511218,54825935,55743129,316000,412000,2673259,-496772,2784217,4476856,6426143,6686618
2731.TW,-343422,-809186,-1216608,-4626910,-110000,-271571,-499541,-2181244,-231000,-545000,-561000,-1049000,-2422,7385,-156067,-1396666
5706.TW,14000,180000,330674,713049,-63000,-35000,114674,492050,0,0,0,0,77000,215000,216000,220999
2881.TW,-169165,-2073615,17142556,20416402,925822,3511516,15402248,-90092556,-849962,-4318325,2326097,109693901,-245025,-1266806,-585789,815057
2882.TW,9294,-11150111,4250115,-3135742,910354,-8987716,3139048,6161365,-982372,-1206571,112115,-12673668,81312,-955824,998952,3376561
2886.TW,-24232,11349828,19278386,25719215,-37388242,-78340590,-80136390,-78229192,37260286,89980238,99255796,100750347,103724,-289820,158980,3198060
2891.TW,-10605759,-572342,20757279,19216768,-5117319,13868829,44331248,87951824,-5209267,-13916070,-22586188,-78452909,-279173,-525101,-987781,9717853
2892.TW,5624465,49213031,91605092,238683177,-12555033,-8126218,14960930,158511771,18097629,57228504,76052225,77447280,81869,110745,591937,2724126
1714.TW,243194,-6270606,842391,9681207,48194,-6702606,199889,7862141,0,0,0,0,195000,432000,642502,1819066
5530.TW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1718.TW,-1750998,1564801,3967298,4594146,747002,1985801,4184521,4029902,0,0,0,0,-2498000,-421000,-217223,564244
2880.TW,-2822959,7449003,20498296,36288953,-18882094,-27392248,-6279990,3385396,16158031,34760004,26437050,29732094,-98896,81247,341236,3171463
2883.TW,13557530,10611243,73774175,51471083,15256888,19054658,68858131,-320002017,-695401,-6361289,4324385,364632461,-1003957,-2082126,591659,6840639
2884.TW,3261422,-5252297,31355471,103444141,-7895955,-25339964,9966116,78568343,12074448,20867056,21302766,23992538,-917071,-779389,86589,883260
2885.TW,-8019851,-4926606,-1481193,-14450981,4160920,23876203,31155306,18179425,-12473047,-27891922,-31765883,-33546695,292276,-910887,-870616,916289
2887.TW,7951089,25016038,92932920,254975040,13106161,26513882,54178835,160433079,-5562676,-863887,39654285,89549327,407604,-633957,-900200,4992634
5880.TW,-5578751,13012640,49099306,79966405,-5832786,15398953,50098973,78590907,206035,-2492441,-1562272,-1230346,48000,106128,562605,2605844
5871.TW,4283144,-1043470,-8706467,5526486,4236805,-891582,-11437057,-29785720,23572,-237697,2570792,35265457,22767,85809,159798,46749
3008.TW,29503,846946,1470857,1627979,8909,132052,325213,12781,-1400,653897,936257,1485939,21994,60997,209387,129259
2357.TW,-824703,-3235416,-3545918,-4545125,-576494,-2187293,-2919674,-979808,-273272,-1151868,-1090833,-4447063,25063,103745,464589,881746
2395.TW,326850,-7589,-38120,416909,323821,124168,279508,944009,11003,-86485,-302841,-476840,-7974,-45272,-14787,-50260
2912.TW,-934612,-3999059,-4469873,-8389575,-1443289,-6057095,-8428128,-13637751,492002,2033063,3902084,5212854,16675,24973,56171,35322
1216.TW,279632,-5173386,-6193530,15804931,-8837347,-22215095,-23180103,-2914536,9077016,17269456,17227859,17414371,39963,-227747,-241286,1305096
1101.TW,-20867260,-36779558,-42781613,-78561943,-20897345,-36549479,-42270012,-77245950,-46981,64019,112019,871062,77066,-294098,-623620,-2187055
1102.TW,-4506857,-6572782,-13509301,-34246027,14609,1861932,-3439131,-24661780,-5598696,-10888944,-13890695,-13664303,1077230,2454230,3820525,4080056
1301.TW,17328363,58593349,75390466,31472201,16495001,164719832,181299360,137142231,-104280,-107473840,-107474721,-107506702,937642,1347357,1565827,1836672
1304.TW,1193256,3999717,5525356,5851929,1337387,3813683,5339401,5720832,0,0,0,0,-144131,186034,185955,131097
1326.TW,10949577,21254147,46595808,21902984,10088805,18797815,42794627,19364740,-988,1754012,1754012,1721592,861760,702320,2047169,816652
1605.TW,36651772,15291379,17876876,39621625,34774250,14099155,13819227,37752440,-30445,-97653,-76185,519503,1907967,1289877,4133834,1349682
1504.TW,2758514,1308320,-4917077,-26523058,2738631,564359,-5516858,-25978042,-12000,-103000,-559159,-99008,31883,846961,1158940,-446008
2207.TW,-43080,293301,208808,-1900415,-67819,7303493,6851675,4446019,20950,-7025796,-6673765,-6413764,3789,15604,30898,67330
2301.TW,11445491,12239422,-8933250,-9307183,14708038,19942741,1900479,2006947,-4098000,-8529027,-11733420,-11774741,835453,825708,899691,460611
2323.TW,3496151,17472782,10660137,10902347,2766955,15310028,8669608,10198999,0,17000,-10000,85000,729196,2145754,2000529,618348
2352.TW,1987913,3419758,2025395,6222158,1902113,3360095,2129370,6278646,-19000,0,-1000,480000,104800,59663,-102975,-536488
2360.TW,280136,290408,288833,1255579,825072,2183807,3028061,4749057,-565697,-1911545,-2799602,-3712411,20761,18146,60374,218933
2377.TW,542848,2669743,1545272,5457506,-423332,-140056,-1660816,2569083,1064000,2599000,3193745,3308590,-97820,210799,12343,-420167
2385.TW,-1889823,-3589232,-733938,-4003830,-916459,-1282793,5180914,2461058,-1018435,-2621622,-2812688,-3045706,45071,315183,-3102164,-3419182
2393.TW,-85472,-1314101,-2251919,1848042,-85508,-227037,-1138255,2259164,-4018,-1118378,-1130195,-1308112,4054,31314,16531,896990
2412.TW,-680699,-5282907,-2768727,4126879,-1033517,-5536963,-3153886,1497881,323818,-71030,-67831,670190,29000,325086,452990,1958808
3045.TW,-214487,451773,4842489,37999649,-1089102,-320847,4479928,37056889,240615,235660,498113,1419585,634000,536960,-135552,-476825
