ticker,name,group,asset_type
9945.TW,潤泰新,營建,stock
3702.TW,大聯大,通路,stock
6415.TW,矽力*-KY,IC設計,stock
2379.TW,瑞昱,IC設計,stock
3059.TW,華晶科,光學,stock
2474.TW,可成,機殼,stock
3014.TW,聯陽,IC設計,stock
3036.TW,文曄,通路,stock
3042.TW,晶技,石英元件,stock
3260.TW,威剛,記憶體,stock
3515.TW,華擎,電腦品牌,stock
3706.TW,神達,AI伺服器,stock
3715.TW,定穎投控,PCB,stock
4919.TW,新唐,IC設計,stock
5347.TWO,世界,半導體,stock
5371.TWO,中光電,光電,stock
5483.TWO,中美晶,太陽能,stock
6176.TW,瑞儀,背光模組,stock
6202.TW,盛群,IC設計,stock
6278.TW,台表科,PCB,stock
6409.TW,旭隼,電源,stock
1229.TW,聯華,食品,stock
1231.TW,聯華食,食品,stock
1210.TW,大成,食品,stock
1215.TW,卜蜂,食品,stock
1234.TW,黑松,食品,stock
1707.TW,葡萄王,生技,stock
1722.TW,台肥,化工,stock
1723.TW,中碳,化工,stock
1736.TW,喬山,運動休閒,stock
1789.TW,神隆,生技,stock
1904.TW,正隆,造紙,stock
1907.TW,永豐餘,造紙,stock
1909.TW,榮成,造紙,stock
2014.TW,中鴻,鋼鐵,stock
2023.TW,燁輝,鋼鐵,stock
2029.TW,盛餘,鋼鐵,stock
2031.TW,新光鋼,鋼鐵,stock
2103.TW,台橡,橡膠,stock
2106.TW,建大,橡膠,stock
2108.TW,南帝,橡膠,stock
2302.TW,麗正,半導體,stock
2314.TW,台揚,網通,stock
2340.TW,台亞,LED,stock
2342.TW,茂矽,半導體,stock
2349.TW,錸德,光碟,stock
2351.TW,順德,半導體材料,stock
2362.TW,藍天,電腦通路,stock
2363.TW,矽統,IC設計,stock
2367.TW,燿華,PCB,stock
2369.TW,菱生,封測,stock
2371.TW,大同,電機,stock
2373.TW,震旦行,通路,stock
2388.TW,威盛,IC設計,stock
2402.TW,毅嘉,電子零組件,stock
2417.TW,圓剛,影像設備,stock
2420.TW,新巨,電源,stock
2425.TW,承啟,電腦品牌,stock
2439.TW,美律,聲學,stock
2441.TW,超豐,封測,stock
2464.TW,盟立,自動化,stock
2472.TW,立隆電,被動元件,stock
2476.TW,鉅祥,電子零組件,stock
2480.TW,敦陽科,資訊服務,stock
2495.TW,普安,儲存設備,stock
2501.TW,國建,營建,stock
2504.TW,國產,建材,stock
2509.TW,全坤建,營建,stock
2511.TW,太子,營建,stock
2515.TW,中工,營建,stock
2520.TW,冠德,營建,stock
2530.TW,華建,營建,stock
2534.TW,宏盛,營建,stock
2535.TW,達欣工,營建,stock
2539.TW,櫻花建,營建,stock
2615.TW,萬海,航運,stock
2634.TW,漢翔,航太,stock
2637.TW,慧洋-KY,航運,stock
2645.TW,長榮航太,航太,stock
2801.TW,彰銀,金融,stock
6412.TW,群電,電源,stock
2812.TW,台中銀,金融,stock
2834.TW,臺企銀,金融,stock
2836.TW,高雄銀,金融,stock
2855.TW,統一證,金融,stock
6510.TW,精測,半導體設備,stock
2897.TW,王道銀行,金融,stock
2903.TW,遠百,百貨,stock
2915.TW,潤泰全,消費,stock
3010.TW,華立,通路,stock
3022.TW,威強電,工業電腦,stock
3026.TW,禾伸堂,被動元件,stock
3030.TW,德律,測試設備,stock
3032.TW,偉訓,電源,stock
3047.TW,訊舟,網通,stock
3056.TW,總太,營建,stock
3094.TW,聯傑,IC設計,stock
3167.TW,大量,設備,stock
3209.TW,全科,通路,stock
3227.TWO,原相,IC設計,stock
3293.TWO,鈊象,遊戲,stock
3443.TW,創意,IC設計,stock
3450.TW,聯鈞,光通訊,stock
3491.TW,昇達科,通訊,stock
3552.TW,同致,車用電子,stock
3596.TW,智易,網通,stock
3617.TW,碩天,電源,stock
3653.TW,健策,散熱,stock
3680.TWO,家登,半導體設備,stock
4105.TWO,東洋,生技,stock
4123.TWO,晟德,生技,stock
4147.TWO,中裕,生技,stock
4763.TW,材料-KY,化工,stock
4766.TW,南寶,化工,stock
5009.TWO,榮剛,鋼鐵,stock
5314.TWO,世紀,通訊,stock
5425.TWO,台半,半導體,stock
5484.TWO,慧友,光電,stock
6121.TWO,新普,電池,stock
6138.TW,茂達,IC設計,stock
6182.TW,合晶,半導體,stock
